u/R	q/Q_1.0	q/Q_0.50	q/Q_0.0	q/Q_-0.50	q/Q_-1.0
0.75	0.3640676979611866	0.3438095238095238	0.3473666191155492	0.3106184658017382	0.3075435092724679
0.77	0.3883959394918088	0.3670199692780338	0.3707988587731812	0.332919609584054	0.3299201141226819
0.79	0.413985243853032	0.3914715821812596	0.3962196861626248	0.3564680690263257	0.3544022824536376
0.81	0.441360578377052	0.4177818740399385	0.4238202567760342	0.3820011735827145	0.3812524964336662
0.8300000000000001	0.4703992604808016	0.4457695852534562	0.4529871611982881	0.4095957284046955	0.4098430813124108
0.85	0.502088456995475	0.4762703533026113	0.4850784593437945	0.4403085723765664	0.4419001426533523
0.87	0.5370729647530086	0.5095668202764977	0.519246790299572	0.4742595215346283	0.4766362339514978
0.89	0.5751844518371003	0.546184331797235	0.5580827389443652	0.5112949655759311	0.5160427960057061
0.91	0.6174129381622719	0.5861013824884793	0.6014579172610557	0.5524686711787133	0.5613837375178317
0.93	0.6668226352218843	0.6343932411674347	0.651811697574893	0.6021462431528207	0.6141169757489301
0.95	0.7272423808409748	0.6955913978494623	0.7154835948644793	0.6703307844263731	0.6852524964336661
0.97	0.7865522770458034	0.7406758832565284	0.7761141226818831	0.7201711833216078	0.7506961483594864
0.99	1.0	1.0	1.0	1.0	1.0
1.2574999999999998	5.7061340941512125e-05	9.216618177014368e-06	0.0162253922967189	0.2036780450938405	0.158488326642872
1.2725	0.0001398002853067	1.8433236354028737e-05	0.0320285306704707	0.2745937775538481	0.2161518292491562
1.2875	0.0002710413694721	1.8433236354028737e-05	0.0479315263908701	0.3400348388167091	0.256069204191738
1.3025	0.0005164051355206	3.993867876706227e-05	0.0637689015691868	0.3976632800715209	0.2904744378728612
1.3175	0.0008758915834522	7.066073935711015e-05	0.0799087018544935	0.4450766361801418	0.3213076214197473
1.3325	0.0012895863052781	0.0001044550060061	0.096530670470756	0.4859123991164335	0.3481721773813905
1.3475	0.001925820256776	0.0001812601574812	0.1126077032810271	0.5226559835821308	0.3724318756972202
1.3625	0.002756062767475	0.0002488486907793	0.1290870185449358	0.5545792767412496	0.3953506286751175
1.3775	0.0040171184022824	0.0003778813452575	0.1460285306704707	0.5840048663743974	0.4158271492928653
1.3925	0.0057089871611982	0.0005284194421488	0.1631783166904422	0.6108713083603944	0.4347972462118294
1.4075	0.0077574893009985	0.0007895569571642	0.1805021398002853	0.6353014909416005	0.4525319615747833
1.4225	0.0102738944365192	0.0011766549205988	0.1978630527817403	0.6576825120814503	0.4694906404868487
1.4375	0.0134265335235378	0.0016897133324526	0.2157888730385164	0.6784168307736737	0.4856333398954062
1.4525	0.0171583452211126	0.0023871041078467	0.2339743223965763	0.6978178120362889	0.5011255381613071
1.4675	0.0215577746077032	0.0033026215134301	0.2520570613409415	0.7157779286572309	0.5160442683146029
1.4825	0.0267760342368045	0.0046267423248612	0.2701683309557774	0.7322418809274376	0.5305521556409576
1.4975	0.0325991440798858	0.0062058562391896	0.2883338088445078	0.7477503771132937	0.5443610395464752
1.5125	0.0393780313837375	0.0081659237048347	0.3064964336661911	0.7628687031296563	0.5575023038582135
1.5275	0.0467988587731811	0.0105192335460324	0.3253238231098431	0.7769547679101932	0.5705865066662101
1.5425	0.0547532097004279	0.0137972774109905	0.344188302425107	0.7903219364729231	0.5833911081058719
1.5575	0.0636576319543509	0.0174992857120912	0.3638459343794579	0.80243257275752	0.5956165352825543
1.5725	0.0729700427960057	0.0220891615642444	0.3832353780313837	0.8139687065090829	0.6078448155344238
1.5875	0.0832753209700428	0.027588410409863	0.4028901569186875	0.8250532259699722	0.6197649636660875
1.6025	0.0945877318116975	0.0338987216550588	0.4229015691868759	0.8356953477583648	0.6314197758053518
1.6175	0.1063195435092724	0.0413211714936144	0.4431041369472183	0.8455909234744193	0.6429062565085778
1.6325	0.118833095577746	0.0498711209558247	0.4629586305278174	0.8549089244513808	0.6543214103321264
1.6475	0.1325049928673324	0.0597574800537021	0.4832781740370899	0.863990365561799	0.6656195880730045
1.6625	0.1467646219686162	0.0709403101084795	0.5036918687589158	0.8726324812057794	0.6766381644455476
1.6775	0.1617403708987161	0.0830693796294305	0.5242938659058488	0.8810196037468625	0.6878821337578709
1.6925	0.1774864479315264	0.096872801452539	0.545320970042796	0.88902270053057	0.6987780278973692
1.7075	0.194339514978602	0.1122215429233269	0.5665249643366619	0.8967093600902	0.7095626521045709
1.7225	0.21151212553495	0.1288483221146608	0.5872981455064195	0.903803083880442	0.7205954938530496
1.7375	0.2299743223965763	0.1470234931597332	0.6084736091298145	0.9109398185555102	0.7314428857143672
