u/R	Epsilon_1.0	Epsilon_0.50	Epsilon_0.0	Epsilon_-0.50	Epsilon_-1.0
1.8575	5.111197964550633	2.9852266235013234	0.0	-0.4688837628536109	-2.283130776711886
1.8725	5.525950173346241	3.249909693658754	0.0	-0.4760078644043203	-2.2466539057296337
1.8875	5.7902682624338455	3.5630052400032763	0.0	-0.4258120470103885	-2.408226348220776
1.9025	6.317436363615893	3.8888328804314014	0.0	-0.416029622483161	-2.52946074629784
1.9175	6.878291509389084	4.232140617889347	0.0	-0.3901973619330603	-2.683826266753451
1.9325	7.581212460189531	4.777540065780595	0.0	-0.3895406971492094	-2.8930693897927373
1.9475	8.484121149879458	5.409996195575013	0.0	-0.3690179170432341	-3.2734737449351696
1.9625	9.788744103410483	6.196028829362532	0.0	-0.3713880059821472	-3.697230869806393
1.9775	14.586808817330132	7.901995332247445	0.0	-0.3603289266562638	-4.5240538825098735
1.9925	33.55698533907754	15.490230005959658	0.0	-0.3617062519956585	-5.592435239731665
