Step,Ke_T,Ke_M,Temp_Act,Temp_Tar,Vx_Mean,Vy_Mean,Pot_Energy
3300,"3,201848481","0,032018485","0,032018485","0,140670000","0,025317959","0,003539373","11704,980890830"
3400,"2,859918285","0,028599183","0,028599183","0,140670000","-0,041932861","0,019775889","11705,619825161"
3500,"1,781070782","0,017810708","0,017810708","0,140670000","-0,016645943","0,024050379","11707,913463773"
3600,"2,330367424","0,023303674","0,023303674","0,140670000","0,031335904","0,011053044","11706,830959877"
3700,"2,689526706","0,026895267","0,026895267","0,140670000","-0,018261681","-0,005487859","11705,879331066"
3800,"2,187083753","0,021870838","0,021870838","0,140670000","-0,001324692","-0,017209290","11707,075675004"
3900,"2,949342371","0,029493424","0,029493424","0,140670000","0,040519974","-0,012883482","11705,614926607"
4000,"2,843508812","0,028435088","0,028435088","0,140670000","-0,024307336","-0,011050743","11705,690790039"
4100,"2,354547779","0,023545478","0,023545478","0,140670000","-0,010100233","0,000336828","11706,809068598"
4200,"2,917662789","0,029176628","0,029176628","0,140670000","0,020077180","0,035602989","11705,697548435"
4300,"2,340334524","0,023403345","0,023403345","0,140670000","-0,031346800","0,006336810","11706,727516061"
4400,"1,665432083","0,016654321","0,016654321","0,140670000","-0,011205674","-0,003923568","11708,134598011"
4500,"3,245670105","0,032456701","0,032456701","0,140670000","0,047184575","-0,016807287","11704,992893389"
4600,"2,947058104","0,029470581","0,029470581","0,140670000","-0,022380073","-0,017430997","11705,547130136"
4700,"1,780593384","0,017805934","0,017805934","0,140670000","-0,017423851","-0,009289863","11707,980373652"
4800,"2,785898105","0,027858981","0,027858981","0,140670000","0,026594511","0,011865253","11706,019433240"
4900,"3,112645738","0,031126457","0,031126457","0,140670000","-0,010564206","0,020826084","11705,210739396"
5000,"1,728992638","0,017289926","0,017289926","0,140670000","-0,024344958","0,008092130","11708,095748965"
5100,"2,541365605","0,025413656","0,025413656","0,140670000","0,025578367","0,007612808","11706,438346021"
5200,"3,209063512","0,032090635","0,032090635","0,140670000","-0,008244117","-0,010786962","11705,003943912"
5300,"2,263178922","0,022631789","0,022631789","0,140670000","-0,003512085","-0,026879181","11707,043164861"
5400,"2,651494150","0,026514941","0,026514941","0,140670000","0,019176354","0,002385334","11706,303115717"
5500,"2,781107362","0,027811074","0,027811074","0,140670000","-0,036401598","0,007057167","11705,963382292"
5600,"1,810931283","0,018109313","0,018109313","0,140670000","-0,003482328","0,022586757","11707,988014499"
5700,"2,574092207","0,025740922","0,025740922","0,140670000","0,037163046","-0,001252439","11706,471314270"
5800,"2,901178715","0,029011787","0,029011787","0,140670000","-0,024290331","-0,007000351","11705,700332504"
5900,"2,350185957","0,023501860","0,023501860","0,140670000","-0,001027151","-0,009034237","11706,871447782"
6000,"2,901699477","0,029016995","0,029016995","0,140670000","0,033342365","-0,015401067","11705,839387643"
6100,"3,007658194","0,030076582","0,030076582","0,140670000","-0,031915792","-0,013674440","11705,504772583"
6200,"1,983413244","0,019834132","0,019834132","0,140670000","-0,022046933","0,019813826","11707,689665371"
6300,"2,423113428","0,024231134","0,024231134","0,140670000","0,033134525","0,034261408","11706,827104644"
6400,"2,308523303","0,023085233","0,023085233","0,140670000","-0,025798948","-0,006079041","11706,961263118"
